"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"583"	"S1B-071"	"1"	"H"	15	308
"584"	"S1B-071"	"1"	"Z"	1	0
"585"	"S1B-072"	"1"	"A"	131	2293
"586"	"S1B-072"	"1"	"Z"	182	410
"587"	"S1B-073"	"1"	"?"	2	8
"588"	"S1B-073"	"1"	"A"	343	2217
"589"	"S1B-073"	"1"	"Z"	373	1235
"590"	"S1B-074"	"1"	"A"	261	2212
"591"	"S1B-074"	"1"	"Z"	312	732
"592"	"S1B-075"	"1"	"A"	175	918
"593"	"S1B-075"	"1"	"B"	114	1470
"594"	"S1B-075"	"1"	"Z"	70	140
"595"	"S1B-076"	"1"	"A"	184	1364
"596"	"S1B-076"	"1"	"B"	179	1864
"597"	"S1B-077"	"1"	"A"	69	467
"598"	"S1B-077"	"1"	"B"	9	27
"599"	"S1B-077"	"1"	"C"	9	29
"600"	"S1B-077"	"1"	"D"	13	38
"601"	"S1B-077"	"1"	"E"	70	972
"602"	"S1B-077"	"1"	"F"	47	807
"603"	"S1B-077"	"1"	"G"	15	29
"604"	"S1B-078"	"1"	"A"	92	520
"605"	"S1B-078"	"1"	"B"	160	1083
"606"	"S1B-078"	"1"	"C"	114	808
"607"	"S1B-078"	"1"	"Z"	114	861
"608"	"S1B-079"	"1"	"A"	190	1931
"609"	"S1B-079"	"1"	"B"	41	208
"610"	"S1B-079"	"1"	"C"	79	477
"611"	"S1B-079"	"1"	"Z"	598	2428
"612"	"S1B-080"	"1"	"A"	42	717
"613"	"S1B-080"	"1"	"B"	28	89
"614"	"S1B-080"	"1"	"C"	12	115
"615"	"S1B-080"	"1"	"D"	55	719
"616"	"S1B-080"	"1"	"E"	19	330
"617"	"S1B-080"	"1"	"F"	28	272
"618"	"S1B-080"	"1"	"G"	19	24
"619"	"S2A-001"	"1"	"A"	36	357
"620"	"S2A-001"	"1"	"B"	160	1646
"621"	"S2A-001"	"1"	"C"	85	936
"622"	"S2A-002"	"1"	"A"	79	1365
"623"	"S2A-002"	"1"	"B"	67	870
"624"	"S2A-003"	"1"	"A"	31	459
"625"	"S2A-003"	"1"	"B"	57	1038
"626"	"S2A-003"	"1"	"C"	27	508
"627"	"S2A-004"	"1"	"A"	23	992
"628"	"S2A-004"	"1"	"B"	25	1039
