"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"your.id"	"text.category"	"recording.date"	"recording.place"	"organizing.body"	"first.name"	"last.name"	"gender"	"age"	"nationality"	"mother.tongue"	"occupation"	"educational.level"	"copyright.statement"	"speech.unit.count"	"word.count"
628	628	"<S1B-065#1:A>"	"S1B-065"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	19	232
629	629	"<S1B-065#1:B>"	"S1B-065"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"secretary of senate"	""	"male"	"41-45"	"filipino"	NA	"senate secretary"	"b.a."	"reproduced by permission. all rights reserved."	3	7
630	630	"<S1B-065#1:C>"	"S1B-065"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"rufo"	"colayco"	"male"	"50+"	"filipino"	NA	"businessman"	"b.a."	"reproduced by permission. all rights reserved."	41	874
631	631	"<S1B-065#1:D>"	"S1B-065"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"roan"	"libarios"	"male"	"46-50"	"filipino"	NA	"congressman/lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	48	807
632	632	"<S1B-065#1:E>"	"S1B-065"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"estelito"	"mendoza"	"male"	"50+"	"filipino"	"kapampangan"	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	15	282
633	633	"<S1B-066#1:A>"	"S1B-066"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	42	300
634	634	"<S1B-066#1:B>"	"S1B-066"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"oscar"	"moreno"	"male"	"41-45"	"filipino"	NA	"congressman/banker"	"b.a."	"reproduced by permission. all rights reserved."	73	1076
635	635	"<S1B-066#1:C>"	"S1B-066"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"victor"	"lim"	"male"	"41-45"	"filipino"	NA	"bank officer"	"b.a."	"reproduced by permission. all rights reserved."	38	552
636	636	"<S1B-066#1:D>"	"S1B-066"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"b.a."	"reproduced by permission. all rights reserved."	30	275
637	637	"<S1B-067#?>"	"S1B-067"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	116
